Place,Date,Rating,Comment
Shanghai Disneyland,2025-01-02,5,体验很好服务很棒项目丰富
Shanghai Disneyland,2025-01-03,2,排队太久价格偏贵
Shanghai Disneyland,2025-01-04,4,整体不错适合家庭出游
Shanghai Disneyland,2025-01-05,3,游客很多等待时间较长
Shanghai Disneyland,2025-01-06,5,氛围很好表演精彩
West Lake,2025-02-01,5,风景很美适合散步
West Lake,2025-02-02,4,交通方便环境很好
West Lake,2025-02-03,2,节假日人太多体验一般
West Lake,2025-02-04,5,景色优美值得再来
West Lake,2025-02-05,3,商业化有点明显
Forbidden City,2025-03-01,5,历史文化价值很高
Forbidden City,2025-03-02,4,展览丰富路线清楚
Forbidden City,2025-03-03,2,预约麻烦人流密集
Forbidden City,2025-03-04,5,建筑震撼讲解很有帮助
Forbidden City,2025-03-05,3,参观时间比较紧张
